id,r,t,p,z,m200b,r200b
45556433261,1832.811401,1.570511,-0.064040,0.472744,898083979264.000000,0.235667
45556433430,1828.455688,1.570525,-0.051052,0.471459,1054272454656.000000,0.248606
45556433264,1839.670166,1.570314,-0.059655,0.474767,2303780716544.000000,0.322607
45556433452,1839.917480,1.570643,-0.053362,0.474840,2459969257472.000000,0.329739
45556433453,1841.850342,1.570676,-0.052777,0.475410,1405696606208.000000,0.273626
45556472420,1855.932129,1.570473,-0.095743,0.479564,468565557248.000000,0.189722
45556472448,1858.692871,1.570404,-0.088533,0.480380,1054272454656.000000,0.248606
45556473135,1860.727905,1.570750,-0.095588,0.480984,546659794944.000000,0.199725
45556473136,1861.194458,1.570719,-0.095454,0.481123,1210461061120.000000,0.260322
45556433183,1860.744629,1.570495,-0.092124,0.480989,0.000000,0.000000
45556473396,1860.781250,1.570500,-0.090553,0.481000,117141389312.000000,0.119517
45556473397,1861.732178,1.570377,-0.090791,0.481282,976178249728.000000,0.242309
45556473398,1861.572632,1.570595,-0.091175,0.481235,41429002878976.000000,0.845204
45556473399,1862.504395,1.570732,-0.090700,0.481512,780942573568.000000,0.224940
45556473426,1861.295044,1.570544,-0.087745,0.481153,780942573568.000000,0.224940
